Date,Facility Type,State,Canonical Facility Name,Pop Tested,Pop Tested Positive,Pop Tested Negative,Pop Deaths,Staff Tested,Staff Tested Positive,Staff Tested Negative,Staff Deaths,Source,Compilation,Notes
2020-04-17,State Prisons,North Carolina,Craven Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,James Lynaugh Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Taylor Correctional Institution,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Kyle Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,South Carolina,Manning Correctional Institution,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Ohio,Ohio Reformatory for Women,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Culpeper Correctional Facility for Women,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Washington,Stafford Creek Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Baten Unit,,3,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,South Carolina,Evans Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,North Carolina,Lumberton Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Wise Correctional Unit,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Arizona,Arizona State Prison Complex – Yuma,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Green Rock Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Alger Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Alabama,Ventress Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Bridgeport Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Nottoway Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Rufe Jordan Unit,,2,,,,9,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,North Carolina,Harnett Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Gib Lewis Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Indian Creek Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Hamilton Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Reverend C.A. Holliday Unit,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Diboll Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Polk Correctional Institution,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Arizona,Arizona State Prison Complex – Lewis,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Daniel Webster Wallace Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Baraga Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Fort Stockton Unit,,1,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Nathaniel J. Neal Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Dalhart Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Homestead Correctional Institution,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,South Carolina,Kershaw Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Richard P. LeBlanc Unit,,16,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Chippewa Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Okeechobee Correctional Institution,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Hilltop Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Preston E. Smith Unit,,3,,,,2,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,William P. Hobby Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Florida State Prison,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,North Carolina,New Hanover Correctional Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Buckingham Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Suwannee Correctional Institution,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Alfred D. Hughes Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Garza East Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Pennsylvania,State Correctional Institution – Dallas,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Thomas Havins Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,New Jersey,New Jersey State Prison,,7,,2,,16,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Alabama,Bibb Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,North Carolina,Caldwell Correctional Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Pennsylvania,State Correctional Institution – Benner Township,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Kansas,Lansing Correctional Facility,,30,,,,39,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Rogelio Sanchez State Jail,,2,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Kansas,Larned Correctional Mental Health Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Arizona,Arizona State Prison Complex – Florence,,13,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,North Carolina,Wake Correctional Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Delaware,Sussex Community Corrections Center,,2,,,,2,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Virginia,Pocahontas State Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Iowa,Mount Pleasant Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,South Carolina,Livesay Correctional Institution,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Illinois,Menard Correctional Center,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Iowa,Iowa State Penitentiary,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Cooper Street Correctional Facility,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Zephyrhills Correctional Institution,,0,,0,,4,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Colorado,Sterling Correctional Facility,,2,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Pennsylvania,State Correctional Institution – Albion,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Minnesota,Oak Park Heights,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,New Jersey,Adult Diagnostic and Treatment Center,,2,,0,,15,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,John R. Lindsey Unit,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,North Carolina,Caswell Correctional Center,,1,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Kansas,Norton Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Wayne Scott Unit,,65,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Alabama,North Alabama,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Washington,Larch Corrections Center,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Pennsylvania,State Correctional Institution – Cambridge Springs,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Minnesota,St. Cloud,,0,,0,,,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Wisconsin,Waupun Correctional Institution,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Texas,Bell Unit,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Florida,Franklin Correctional Institution,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Thumb Correctional Facility,,6,,0,,5,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Central Michigan Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-17,State Prisons,Michigan,Kinross Correctional Facility,,1,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Virginia,Sussex II State Prison,,14,,0,,3,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Louisiana,Elayn Hunt Correctional Center,,5,,0,,9,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Idaho,Idaho State Correctional Institution,,,,,,,,,,,
2020-04-18,State Prisons,North Carolina,Anson Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Carole S. Young Medical Facility Complex,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Cuyahoga Hills (juvenile),,0,,0,,0,,0,https://www.dys.ohio.gov/Home/COVID-19-Updates-from-DYS,Recidiviz,
2020-04-18,State Prisons,Virginia,Central Virginia Correctional Unit #13,,20,,0,,2,,0,,UCLA Law Behind Bars,
2020-04-18,Federal Prisons,Tennessee,"Federal Correctional Institution, Memphis",,0,,0,,1,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,State Prisons,Washington,Coyote Ridge Corrections Center,,0,,,,2,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Marion Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Central State Prison,,,,,,,,,,,
2020-04-18,State Prisons,Texas,Clyde M. Johnston Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Arizona,Arizona State Prison Complex – Winslow,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Virginia,Red Onion State Prison,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Dakota,Dakota Women's Correctional and Rehabilitation Center,,,,,,,,,,,
2020-04-18,State Prisons,Florida,Santa Rosa Correctional Institution Annex,,,,,,,,,,,
2020-04-18,State Prisons,Florida,Tomoka Correctional Institution,,7,4,0,,3,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Georgia,Augusta Transitional Center,,,,,,,,,,,
2020-04-18,State Prisons,North Carolina,Southern Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Gaston Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Bainbridge Probation Substance Abuse Treatment Center,,6,,,,2,,,http://www.gdc.ga.gov/content/cases,Recidiviz,
2020-04-18,State Prisons,Washington,Airway Heights Corrections Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Pennsylvania,State Correctional Institution – Coal Township,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Minnesota,Faribault,10,0,10,0,,,,,https://mn.gov/doc/about/covid-19-updates/,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Georgia,Macon State Prison,,10,,0,,2,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Marion Correctional Institution,,1057,,0,,103,,0,https://drc.ohio.gov/,Recidiviz,
2020-04-18,State Prisons,North Carolina,Catawba Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Southeastern Correctional Institution,,1,,0,,0,,0,https://drc.ohio.gov/,Recidiviz,
2020-04-18,State Prisons,Pennsylvania,State Correctional Institution – Mahanoy,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,"Central Florida Reception Center, South Unit",,,,,,,,,,,
2020-04-18,State Prisons,Texas,Price Daniel Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Minnesota,Moose Lake,17,13,2,0,,,,,https://mn.gov/doc/about/covid-19-updates/,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Minnesota,Lino Lakes,6,0,6,0,,,,,https://mn.gov/doc/about/covid-19-updates/,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,South Carolina,MacDougall Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,Okaloosa Correctional Institution,,0,0,0,,1,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Oregon,"Warner Creek Correctional Facility, Lakeview",,0,,,,0,,,https://www.oregon.gov/doc/covid19/Pages/covid19-tracking.aspx,Recidiviz,
2020-04-18,State Prisons,Texas,Barry Telford Unit,,20,,2,,29,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Indian River (juvenile),,0,,0,,0,,0,https://www.dys.ohio.gov/Home/COVID-19-Updates-from-DYS,Recidiviz,
2020-04-18,State Prisons,Oregon,"Coffee Creek Correctional Facility, Wilsonville",,0,,,,0,,,https://www.oregon.gov/doc/covid19/Pages/covid19-tracking.aspx,Recidiviz,
2020-04-18,State Prisons,Texas,Jim Rudd Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Dakota,James River Correctional Center,,0,6,0,,,,,https://www.docr.nd.gov/covid-19-information,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,North Carolina,Warren Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,Century Correctional Institution,,0,0,0,,1,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Florida,"Reception and Medical Center, West Unit",,,,,,,,,,,
2020-04-18,State Prisons,Virginia,Brunswick Work Center,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Burruss Correctional Training Center,,0,,,,3,,,http://www.gdc.ga.gov/content/cases,Recidiviz,
2020-04-18,State Prisons,Texas,L.V. Hightower Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Larry Gist State Jail,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,Quincy Annex,,,,,,,,,,,
2020-04-18,State Prisons,Pennsylvania,State Correctional Institution – Greene,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Tennessee,Bledsoe County Correctional Complex,,12,,,,10,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Polk Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Eastham Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Franklin Medical Center,,101,,0,,26,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Wilkes Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Greene Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,South Carolina,Walden Correctional Institution,,0,,0,,2,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Columbus Transitional Center,,,,,,,,,,,
2020-04-18,State Prisons,Illinois,Logan Correctional Center,,0,,,,4,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Pennsylvania,State Correctional Institution – Frackville,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Michigan,G. Robert Cotton Correctional Facility,,35,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Noble Correctional Institution,,0,,0,,0,,0,https://drc.ohio.gov/,Recidiviz,
2020-04-18,State Prisons,Florida,Mayo Correctional Institution Annex,,0,1,0,,0,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Georgia,Valdosta State Prison & Annex,,0,,,,0,,,http://www.gdc.ga.gov/content/cases,Recidiviz,
2020-04-18,State Prisons,Texas,Thomas Goree Unit,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Idaho,Idaho Maximum Security Institution,,,,,,,,,,,
2020-04-18,State Prisons,Minnesota,Stillwater,2,0,2,0,,,,,https://mn.gov/doc/about/covid-19-updates/,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Idaho,South Idaho Correctional Institution Community Work Center,,,,,,,,,,,
2020-04-18,State Prisons,Florida,Suwannee Correctional Institution Annex,,,,,,,,,,,
2020-04-18,State Prisons,Oregon,North Coast Youth Correctional Facility Warrenton,,,,,,,,,,,
2020-04-18,State Prisons,Georgia,Paulding Probation Detention Center,,,,,,,,,,,
2020-04-18,Federal Prisons,New Jersey,"Federal Correctional Institution, Fort Dix",,6,,0,,3,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,State Prisons,Georgia,Patten Probation Detention Center,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Idaho,Idaho State Correctional Center,27,0,26,,,,,,https://www.idoc.idaho.gov/content/careers/covid-19,Recidiviz,One test pending
2020-04-18,State Prisons,Texas,Dempsie Henley State Jail,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Georgia State Prison,,,,,,,,,,,
2020-04-18,State Prisons,Iowa,Newton Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Delaware,Hazel D. Plant Women's Treatment Facility,,0,,,,0,,,https://doc.delaware.gov/views/covid19.blade.shtml,Recidiviz,
2020-04-18,Federal Prisons,New York,"Federal Correctional Institution, Otisville",,16,,0,,9,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,State Prisons,Texas,John W. Middleton Unit,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Buster Cole State Jail,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Alabama,Staton Correctional Facility,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Orange Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Illinois,Crossroads Adult Transition Center,,2,,,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Jenkins Correctional Facility,,,,,,,,,,,
2020-04-18,State Prisons,Florida,Madison Correctional Institution,,0,1,0,,0,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,North Carolina,Eastern Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,South Carolina,Lee Correctional Institution,,0,,0,,3,,1,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Alabama,Montgomery Women's Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Virginia,Caroline Correctional Unit,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Swannanoa Correctional Center for Women,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Jimmy Autry State Prison,,6,,,,4,,,http://www.gdc.ga.gov/content/cases,Recidiviz,
2020-04-18,State Prisons,Virginia,Cold Springs Correctional Unit,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,Marion Correctional Institution,,0,5,0,,1,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Pennsylvania,State Correctional Institution – Houtzdale,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Garza West Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,Federal Prisons,Maryland,"Federal Correctional Institution, Cumberland",,5,,0,,2,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,State Prisons,Pennsylvania,Motivational Bootcamp – Quehanna,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Choice Moore Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Ramsey Unit,,0,,0,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Rutherford Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Wallace Pack Unit,,0,,1,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Ohio,Dayton Correctional Institution,,1,,0,,1,,0,https://drc.ohio.gov/,Recidiviz,
2020-04-18,State Prisons,Arizona,Arizona State Prison Complex – Douglas,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,Hardee Correctional Institution,,0,1,0,,0,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Georgia,Albany Transitional Center,,,,,,,,,,,
2020-04-18,State Prisons,Texas,Skyview Unit,,0,,0,,2,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Montgomery State Prison,,,,,,,,,,,
2020-04-18,State Prisons,Iowa,Clarinda Correctional Facility,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Craggy Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Michigan,St. Louis Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Arizona,Arizona State Prison Complex – Eyman,,3,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,New Jersey,South Woods State Prison,,2,,0,,3,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Oregon,Oregon State Penitentiary,,0,,,,4,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Mountain View Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Illinois,Graham Correctional Center,,0,,,,1,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Oregon,Oregon State Correctional Institution,,0,,,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Lincoln Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Treutlen Probation Detention Center,,,,,,,,,,,
2020-04-18,State Prisons,Texas,Marshall Formby State Jail,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Lucille G. Plane State Jail,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Idaho,Nampa Community Work Center,,,,,,,,,,,
2020-04-18,State Prisons,Texas,Cotulla Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Michigan,Muskegon Correctional Facility,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Illinois,North Lawndale Adult Transition Center,,5,,,,2,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Pennsylvania,State Correctional Institution – Forest,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,"William P. ""Bill"" Clements Unit",,4,,0,,5,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,North Carolina,Central Prison,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,Sumter Correctional Institution,,3,1,0,,2,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Texas,Ferguson Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Lee State Prison,,9,,2,,17,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Dodge State Prison,,,,,,,,,,,
2020-04-18,State Prisons,Michigan,Marquette Branch Prison,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Virginia,Augusta Correctional Center,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,South Carolina,Allendale Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,New Jersey,Bayside State Prison,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,New Jersey,Southern State Correctional Facility,,4,,0,,21,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,South Florida Reception Center,,0,,0,,5,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,South Carolina,Perry Correctional Institution,,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Macon Transitional Center,,,,,,,,,,,
2020-04-18,State Prisons,Delaware,Central Violation of Probation Center,,,,,,,,,,,
2020-04-18,State Prisons,Texas,Hutchins State Jail,,2,,0,,6,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Smith State Prison,,,,,,,,,,,
2020-04-18,State Prisons,Florida,Taylor Correctional Institution Annex,,,,,,,,,,,
2020-04-18,State Prisons,Alabama,Childersburg (total),,0,,0,,0,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Georgia,Wheeler Correctional Facility,,1,,0,,,,0,,UCLA Law Behind Bars,
2020-04-18,Federal Prisons,Ohio,"Federal Correctional Institution, Elkton",,39,,6,,37,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,Federal Prisons,California,"United States Penitentiary, Lompoc",,69,,0,,22,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,State Prisons,South Carolina,McCormick Correctional Institution,,0,,0,,1,,0,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Texas,Mark W. Michael Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,State Prisons,Florida,South Bay Correctional Facility,,0,1,,,6,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,Recidiviz,Private
2020-04-18,State Prisons,Texas,William R. Boyd Unit,,0,,0,,0,,,,UCLA Law Behind Bars,
2020-04-18,Federal Prisons,Illinois,"Metropolitan Correctional Center, Chicago",,10,,0,,11,,0,https://www.bop.gov/coronavirus/index.jsp,Recidiviz,
2020-04-18,State Prisons,Florida,Desoto Annex,,0,0,0,,0,,,http://www.dc.state.fl.us/comm/covid-19.html#testing,"UCLA Law Behind Bars,Recidiviz",
2020-04-18,State Prisons,Washington,Washington State Penitentiary,,0,,,,0,,,,UCLA Law Behind Bars,
