"","State","Facility","Scrape Date","Inmates Positive","Inmates Negative","Inmates Pending","Inmates Tested","Inmates Recovered","Inmates Deaths"
"423","New York","CAYUGA","2020-05-02","0","1","0","","0","0"
"424","New York","COLLINS","2020-05-02","0","4","0","","0","0"
"425","New York","EDGECOMBE","2020-05-02","0","0","0","","0","0"
"426","New York","ELMIRA","2020-05-02","0","5","0","","0","0"
"427","New York","FIVE POINTS","2020-05-02","0","1","0","","0","0"
"428","New York","GOUVERNEUR","2020-05-02","0","2","0","","0","0"
"429","New York","GOWANDA","2020-05-02","0","1","0","","0","0"
"430","New York","GREENE","2020-05-02","0","1","1","","0","0"
"431","New York","GROVELAND","2020-05-02","0","1","0","","0","0"
"432","New York","HALE CREEK","2020-05-02","0","0","0","","0","0"
"433","New York","HUDSON","2020-05-02","0","0","0","","0","0"
"434","New York","LAKEVIEW","2020-05-02","0","1","0","","0","0"
"435","New York","MORIAH","2020-05-02","0","0","0","","0","0"
"436","New York","OGDENSBURG","2020-05-02","0","0","0","","0","0"
"437","New York","ORLEANS","2020-05-02","0","2","0","","0","0"
"438","New York","RIVERVIEW","2020-05-02","0","5","0","","0","0"
"439","New York","ROCHESTER","2020-05-02","0","0","0","","0","0"
"440","New York","UPSTATE","2020-05-02","0","0","0","","0","0"
"441","New York","WASHINGTON","2020-05-02","0","0","0","","0","0"
"442","New York","WATERTOWN","2020-05-02","0","0","0","","0","0"
"443","New York","WILLARD","2020-05-02","0","1","0","","0","0"
"444","New York","WOODBOURNE","2020-05-02","0","0","0","","0","0"
"445","New York","WYOMING","2020-05-02","0","1","0","","0","0"
"446","North Carolina","Albemarle CI","2020-05-02","0","2","","2","",""
"447","North Carolina","Alexander CI","2020-05-02","0","1","","1","",""
"448","North Carolina","Anson CI","2020-05-02","0","2","","2","",""
"449","North Carolina","Avery-Mitchell CI","2020-05-02","0","2","","2","",""
"450","North Carolina","Burke CRV","2020-05-02","0","0","","0","",""
"451","North Carolina","Caldwell CC","2020-05-02","0","2","","2","",""
"452","North Carolina","Carteret CC","2020-05-02","0","0","","0","",""
"453","North Carolina","Catawba CC","2020-05-02","0","0","","0","",""
"454","North Carolina","Columbus CI","2020-05-02","0","1","","1","",""
"455","North Carolina","Craggy CC","2020-05-02","0","3","","3","",""
"456","North Carolina","Craven CI","2020-05-02","0","7","","7","",""
"457","North Carolina","Dan River PWF","2020-05-02","0","0","","0","",""
"458","North Carolina","Davidson CC","2020-05-02","0","0","","0","",""
"459","North Carolina","Eastern CI","2020-05-02","0","3","","3","",""
"460","North Carolina","Foothills CI","2020-05-02","0","1","","1","",""
"461","North Carolina","Forsyth CC","2020-05-02","0","0","","0","",""
"462","North Carolina","Franklin CC","2020-05-02","0","0","","0","",""
"463","North Carolina","Gaston CC","2020-05-02","0","0","","0","",""
"464","North Carolina","Greene CI","2020-05-02","0","18","","18","",""
"465","North Carolina","Harnett CI","2020-05-02","0","0","","0","",""
"466","North Carolina","Hyde CI","2020-05-02","0","2","","2","",""
"467","North Carolina","Lincoln CC","2020-05-02","0","0","","0","",""
"468","North Carolina","Lumberton CI","2020-05-02","0","4","","4","",""
"469","North Carolina","Marion CI","2020-05-02","0","0","","0","",""
"470","North Carolina","Maury CI","2020-05-02","0","7","","7","",""
"471","North Carolina","Morrison CI","2020-05-02","0","0","","0","",""
"472","North Carolina","Mountain View CI","2020-05-02","0","3","","3","",""
"473","North Carolina","Nash CI","2020-05-02","0","1","","1","",""
"474","North Carolina","New Hanover CC","2020-05-02","0","0","","0","",""
"475","North Carolina","North Piedmont CRV","2020-05-02","0","0","","0","",""
"476","North Carolina","Orange CC","2020-05-02","0","1","","1","",""
"477","North Carolina","Pamlico CI","2020-05-02","0","1","","1","",""
"478","North Carolina","Piedmont CI","2020-05-02","0","12","","12","",""
"479","North Carolina","Polk CI","2020-05-02","0","4","","4","",""
"480","North Carolina","Raleigh CCW","2020-05-02","0","1","","1","",""
"481","North Carolina","Randolph CC","2020-05-02","0","1","","1","",""
"482","North Carolina","Rutherford CC","2020-05-02","0","0","","0","",""
"483","North Carolina","Sampson CI","2020-05-02","0","2","","2","",""
"484","North Carolina","Sanford CC","2020-05-02","0","0","","0","",""
"485","North Carolina","Swannanoa CCW","2020-05-02","0","0","","0","",""
"486","North Carolina","Tabor CI","2020-05-02","0","15","","15","",""
"487","North Carolina","Wake CC","2020-05-02","0","1","","1","",""
"488","North Carolina","Warren CI","2020-05-02","0","0","","0","",""
"489","North Carolina","Wilkes CC","2020-05-02","0","0","","0","",""
"490","North Dakota","jrcc","2020-05-02","0","6","","","","0"
"491","North Dakota","mrcc","2020-05-02","0","9","","","","0"
"492","North Dakota","ndsp","2020-05-02","0","17","","","","0"
"493","North Dakota","ycc","2020-05-02","0","0","","","","0"
"494","Ohio","AOCI","2020-05-02","0","","0","","0",""
"495","Ohio","DCI","2020-05-02","0","","1","","1",""
"496","Ohio","GCI","2020-05-02","0","","1","","1",""
"497","Ohio","LECI","2020-05-02","0","","0","","0",""
"498","Ohio","MACI","2020-05-02","0","","0","","0",""
"499","Ohio","MANCI","2020-05-02","0","","0","","1",""
"500","Ohio","NCI","2020-05-02","0","","1","","0",""
"501","Ohio","NEOCC","2020-05-02","0","","0","","0",""
"502","Ohio","ORW","2020-05-02","0","","0","","0",""
"503","Ohio","OSP","2020-05-02","0","","1","","0",""
"504","Ohio","RCI","2020-05-02","0","","0","","0",""
"505","Ohio","RICI","2020-05-02","0","","0","","0",""
"506","Ohio","SCI","2020-05-02","0","","0","","1",""
"507","Ohio","SOCF","2020-05-02","0","","0","","0",""
"508","Ohio","WCI","2020-05-02","0","","1","","0",""
"509","Oklahoma","Bill Johnson Correctional Center","2020-05-02","0","","","","0",""
"510","Oklahoma","Bridgeway, Inc. (Halfway House)","2020-05-02","0","","","","0",""
"511","Oklahoma","Carver Transitional Center (Halfway House)","2020-05-02","0","","","","0",""
"512","Oklahoma","Cimarron Correctional Facility (Private Prison)","2020-05-02","0","","","","0",""
"513","Oklahoma","Clara Waters Community Corrections Center","2020-05-02","0","","","","0",""
"514","Oklahoma","Davis Correctional Facility (Private Prison)","2020-05-02","0","","","","0",""
"515","Oklahoma","Dick Conner Correctional Center","2020-05-02","0","","","","0",""
"516","Oklahoma","Eddie Warrior Correctional Center","2020-05-02","0","","","","0",""
"517","Oklahoma","Enid Community Corrections Center","2020-05-02","0","","","","0",""
"518","Oklahoma","Howard McLeod Correctional Center","2020-05-02","0","","","","0",""
"519","Oklahoma","Jackie Brannon Correctional Center","2020-05-02","0","","","","1",""
"520","Oklahoma","James Crabtree Correctional Center","2020-05-02","0","","","","0",""
"521","Oklahoma","Jess Dunn Correctional Center","2020-05-02","0","","","","0",""
"522","Oklahoma","Jim E. Hamilton Correctional Center","2020-05-02","0","","","","0",""
"523","Oklahoma","John Lilley Correctional Center","2020-05-02","0","","","","0",""
"524","Oklahoma","Joseph Harp Correctional Center","2020-05-02","0","","","","0",""
"525","Oklahoma","Kate Barnard Correctional Center","2020-05-02","0","","","","0",""
"526","Oklahoma","Lawton Community Corrections Center","2020-05-02","0","","","","0",""
"527","Oklahoma","Lawton Correctional Facility (Private Prison)","2020-05-02","0","","","","0",""
"528","Oklahoma","Lexington Assessment and Reception Center","2020-05-02","0","","","","0",""
"529","Oklahoma","Mabel Bassett Correctional Center","2020-05-02","0","","","","0",""
"530","Oklahoma","Mack Alford Correctional Center","2020-05-02","0","","","","0",""
"531","Oklahoma","North Fork Correctional Center","2020-05-02","0","","","","0",""
"532","Oklahoma","Northeast Oklahoma Correctional Center","2020-05-02","0","","","","0",""
"533","Oklahoma","OKC Transitional Center (Halfway House)","2020-05-02","0","","","","0",""
"534","Oklahoma","Oklahoma City Community Corrections Center","2020-05-02","0","","","","0",""
"535","Oklahoma","Oklahoma State Penitentiary","2020-05-02","0","","","","0",""
"536","Oklahoma","Oklahoma State Reformatory","2020-05-02","0","","","","0",""
"537","Oklahoma","Tulsa Transitional Center (Halfway House)","2020-05-02","0","","","","0",""
"538","Oklahoma","Union City Community Corrections Center","2020-05-02","0","","","","0",""
"539","Oklahoma","William S. Key Correctional Center","2020-05-02","0","","","","0",""
"540","Oregon","CCCF and Intake Center","2020-05-02","0","17","1","18","",""
"541","Oregon","CRCI","2020-05-02","0","3","0","3","",""
"542","Oregon","DRCI","2020-05-02","0","5","0","5","",""
"543","Oregon","EOCI","2020-05-02","0","8","0","8","",""
"544","Oregon","MCCF","2020-05-02","0","0","0","0","",""
"545","Oregon","OSCI","2020-05-02","0","2","0","2","",""
"546","Oregon","OSP","2020-05-02","0","9","3","12","",""
"547","Oregon","PRCF","2020-05-02","0","0","0","0","",""
"548","Oregon","SFFC","2020-05-02","0","0","0","0","",""
"549","Oregon","SRCI","2020-05-02","0","11","2","14","",""
"550","Oregon","WCCF","2020-05-02","0","0","0","0","",""
"551","Pennsylvania","Albion","2020-05-02","0","0","","","0","0"
"552","Pennsylvania","Benner Township","2020-05-02","0","4","","","0","0"
"553","Pennsylvania","Cambridge Springs","2020-05-02","0","3","","","0","0"
"554","Pennsylvania","Camp Hill","2020-05-02","0","6","","","0","0"
"555","Pennsylvania","Central Office","2020-05-02","0","0","","","0","0"
"556","Pennsylvania","Chester","2020-05-02","0","3","","","0","0"
"557","Pennsylvania","Coal Township","2020-05-02","0","1","","","0","0"
"558","Pennsylvania","Dallas","2020-05-02","0","5","","","0","0"
"559","Pennsylvania","Forest","2020-05-02","0","3","","","0","0"
"560","Pennsylvania","Frackville","2020-05-02","0","2","","","0","0"
"561","Pennsylvania","Greene","2020-05-02","0","3","","","0","0"
"562","Pennsylvania","Houtzdale","2020-05-02","0","6","","","0","0"
"563","Pennsylvania","Laurel Highlands","2020-05-02","0","9","","","0","0"
"564","Pennsylvania","Mahanoy","2020-05-02","0","9","","","0","0"
"565","Pennsylvania","Mercer","2020-05-02","0","4","","","0","0"
"566","Pennsylvania","Muncy","2020-05-02","0","1","","","0","0"
"567","Pennsylvania","Pine Grove","2020-05-02","0","1","","","0","0"
"568","Pennsylvania","Quehanna Boot Camp","2020-05-02","0","0","","","0","0"
"569","Pennsylvania","Retreat","2020-05-02","0","0","","","0","0"
"570","Pennsylvania","Rockview","2020-05-02","0","7","","","0","0"
"571","Pennsylvania","Smithfield","2020-05-02","0","3","","","0","0"
"572","Pennsylvania","Somerset","2020-05-02","0","4","","","0","0"
"573","Pennsylvania","Training Academy","2020-05-02","0","0","","","0","0"
"574","Pennsylvania","Waymart","2020-05-02","0","6","","","0","0"
"575","South Carolina","Broad River","2020-05-02","0","","","","",""
"576","South Carolina","Camille Graham","2020-05-02","0","","","","",""
"577","South Carolina","Evans","2020-05-02","0","","","","",""
"578","South Carolina","Goodman","2020-05-02","0","","","","",""
"579","South Carolina","Kershaw","2020-05-02","0","","","","",""
"580","South Carolina","Leath","2020-05-02","0","","","","",""
"581","South Carolina","Lee","2020-05-02","0","","","","",""
"582","South Carolina","Lieber","2020-05-02","0","","","","",""
"583","South Carolina","Livesay","2020-05-02","0","","","","",""
"584","South Carolina","MacDougall","2020-05-02","0","","","","",""
"585","South Carolina","Manning","2020-05-02","0","","","","",""
"586","South Carolina","McCormick","2020-05-02","0","","","","",""
"587","South Carolina","Non-Institutional Staff","2020-05-02","0","","","","",""
"588","South Carolina","Palmer","2020-05-02","0","","","","",""
"589","South Carolina","Perry","2020-05-02","0","","","","",""
"590","South Carolina","Ridgeland","2020-05-02","0","","","","",""
"591","South Carolina","Trenton","2020-05-02","0","","","","",""
"592","South Carolina","Turbeville","2020-05-02","0","","","","",""
"593","South Carolina","Tyger River","2020-05-02","0","","","","",""
"594","South Carolina","Wateree River","2020-05-02","0","","","","",""
"595","South Dakota","Mike Durfee State Prison","2020-05-02","0","10","","","0","0"
"596","South Dakota","Pierre Community Work Center","2020-05-02","0","0","","","0","0"
"597","South Dakota","Rapid City Community Work Center","2020-05-02","0","0","","","0","0"
"598","South Dakota","Sioux Falls Community Work Center","2020-05-02","0","0","","","0","0"
"599","South Dakota","South Dakota State Penitentiary","2020-05-02","0","12","","","0","0"
"600","South Dakota","South Dakota Women's Prison Unit E","2020-05-02","0","0","","","0","0"
"601","South Dakota","Yankton Community Work Center","2020-05-02","0","2","","","0","0"
"602","Tennessee","Lois M. Derry Special Needs Facility","2020-05-02","0","5","0","5","",""
"603","Tennessee","Morgan County Correctional Complex","2020-05-02","0","0","0","0","",""
"604","Tennessee","Northeast Correctional Complex","2020-05-02","0","1","0","1","",""
"605","Tennessee","South Central Correctional Facility","2020-05-02","0","2","0","2","",""
"606","Tennessee","Tennessee Prison for Women","2020-05-02","0","4","1","5","",""
"607","Tennessee","West Tennessee State Penitentiary","2020-05-02","0","1","0","1","",""
"608","Tennessee","Whiteville Correctional Facility","2020-05-02","0","2","0","2","",""
"609","Tennessee","Women's Therapeutic Residential Center","2020-05-02","0","2","1","3","",""
"610","Texas","Allred","2020-05-02","0","1","1","","",""
"611","Texas","Bambi","2020-05-02","0","0","0","","",""
"612","Texas","Bell","2020-05-02","0","1","0","","",""
"613","Texas","Boyd","2020-05-02","0","3","0","","",""
"614","Texas","Bradshaw","2020-05-02","0","2","0","","",""
"615","Texas","Bridgeport","2020-05-02","0","1","0","","",""
"616","Texas","Briscoe","2020-05-02","0","0","0","","",""
"617","Texas","Coffield","2020-05-02","0","6","0","","",""
"618","Texas","Cole","2020-05-02","0","0","0","","",""
"619","Texas","Connally","2020-05-02","0","0","0","","",""
"620","Texas","Cotulla","2020-05-02","0","2","0","","",""
"621","Texas","Crain","2020-05-02","0","7","0","","",""
"622","Texas","Dalhart","2020-05-02","0","0","0","","",""
"623","Texas","Daniel","2020-05-02","0","0","0","","",""
"624","Texas","Diboll","2020-05-02","0","0","0","","",""
"625","Texas","Dominguez","2020-05-02","0","1","1","","",""
"626","Texas","Duncan","2020-05-02","0","2","0","","",""
"627","Texas","Estes","2020-05-02","0","0","1","","",""
"628","Texas","ETTF","2020-05-02","0","3","0","","",""
"629","Texas","Ferguson","2020-05-02","0","0","0","","",""
"630","Texas","Formby","2020-05-02","0","0","0","","",""
"631","Texas","Garza East","2020-05-02","0","0","0","","",""
"632","Texas","Gist","2020-05-02","0","1","1","","",""
"633","Texas","Glossbrenner","2020-05-02","0","0","0","","",""
"634","Texas","Goodman","2020-05-02","0","1","0","","",""
"635","Texas","Halbert","2020-05-02","0","1","0","","",""
"636","Texas","Hamilton","2020-05-02","0","3","1","","",""
"637","Texas","Havins","2020-05-02","0","1","0","","",""
"638","Texas","Henley","2020-05-02","0","0","0","","",""
"639","Texas","Hightower","2020-05-02","0","0","0","","",""
"640","Texas","Hilltop","2020-05-02","0","0","0","","",""
"641","Texas","Hobby","2020-05-02","0","0","0","","",""
"642","Texas","Hodge","2020-05-02","0","1","1","","",""
"643","Texas","Holliday","2020-05-02","0","3","2","","",""
"644","Texas","Jester 3","2020-05-02","0","6","1","","",""
"645","Texas","Jester 4","2020-05-02","0","0","1","","",""
"646","Texas","Johnston","2020-05-02","0","2","0","","",""
"647","Texas","Kegans","2020-05-02","0","0","0","","",""
"648","Texas","Kyle","2020-05-02","0","0","0","","",""
"649","Texas","Lewis","2020-05-02","0","0","0","","",""
"650","Texas","Lindsay","2020-05-02","0","0","0","","",""
"651","Texas","Lockhart","2020-05-02","0","1","0","","",""
"652","Texas","Luther","2020-05-02","0","2","0","","",""
"653","Texas","Lychner","2020-05-02","0","0","1","","",""
"654","Texas","Lynaugh","2020-05-02","0","0","0","","",""
"655","Texas","Marlin","2020-05-02","0","1","0","","",""
"656","Texas","McConnell","2020-05-02","0","5","1","","",""
"657","Texas","Moore B.","2020-05-02","0","0","0","","",""
"658","Texas","Moore C.","2020-05-02","0","1","0","","",""
"659","Texas","Mountain View","2020-05-02","0","1","1","","",""
"660","Texas","Neal","2020-05-02","0","0","0","","",""
"661","Texas","Ney","2020-05-02","0","3","0","","",""
"662","Texas","Pack","2020-05-02","0","16","4","","",""
"663","Texas","Plane","2020-05-02","0","5","1","","",""
"664","Texas","Polunsky","2020-05-02","0","3","0","","",""
"665","Texas","Powledge","2020-05-02","0","2","0","","",""
"666","Texas","Roach","2020-05-02","0","0","0","","",""
"667","Texas","Rudd","2020-05-02","0","1","0","","",""
"668","Texas","Sansaba","2020-05-02","0","0","0","","",""
"669","Texas","Sayle","2020-05-02","0","0","0","","",""
"670","Texas","Segovia","2020-05-02","0","1","0","","",""
"671","Texas","Stevenson","2020-05-02","0","0","0","","",""
"672","Texas","Torres","2020-05-02","0","0","0","","",""
"673","Texas","Travis","2020-05-02","0","0","0","","",""
"674","Texas","Tulia","2020-05-02","0","0","0","","",""
"675","Texas","Vance","2020-05-02","0","0","0","","",""
"676","Texas","Wallace","2020-05-02","0","0","0","","",""
"677","Texas","West Texas RMF","2020-05-02","0","0","0","","",""
"678","Texas","Wheeler","2020-05-02","0","1","1","","",""
"679","Texas","Willacy","2020-05-02","0","0","0","","",""
"680","Texas","Young","2020-05-02","0","17","2","","",""
"681","Utah","Atherton Community Treatment Center","2020-05-02","0","3","0","3","0","0"
"682","Utah","Central Utah Correctional Facility - Gunnison","2020-05-02","0","3","0","3","0","0"
"683","Utah","Fortitude Treatment Center","2020-05-02","0","4","0","4","0","0"
"684","Utah","Northern Utah Community Correctional Center","2020-05-02","0","0","0","0","0","0"
"685","Utah","Orange Street Community Correctional Center","2020-05-02","0","3","0","3","0","0"
"686","Utah","UDC Inmates Housed at a County Jail","2020-05-02","0","2","0","2","0","0"
"687","Utah","Utah State Prison - Draper","2020-05-02","0","29","12","29","0","0"
"688","Virginia","Appalachian Men’s CCAP","2020-05-02","0","","","","","0"
"689","Virginia","Augusta Correctional Center","2020-05-02","0","","","","","0"
"690","Virginia","Baskerville Correctional Center","2020-05-02","0","","","","","0"
"691","Virginia","Bland Correctional Center","2020-05-02","0","","","","","0"
"692","Virginia","Brunswick CCAP","2020-05-02","0","","","","","0"
"693","Virginia","Caroline Correctional Unit","2020-05-02","0","","","","","0"
"694","Virginia","Chesterfield Women’s CCAP","2020-05-02","0","","","","","0"
"695","Virginia","Coffeewood Correctional Center","2020-05-02","0","","","","","0"
"696","Virginia","Cold Springs CCAP","2020-05-02","0","","","","","0"
"697","Virginia","Cold Springs Correctional Unit #10","2020-05-02","0","","","","","0"
"698","Virginia","Fluvanna Correctional Center for Women","2020-05-02","0","","","","","0"
"699","Virginia","Green Rock Correctional Center","2020-05-02","0","","","","","0"
"700","Virginia","Greensville Correctional Center (includes Greensville Work Center)","2020-05-02","0","","","","","0"
"701","Virginia","Halifax Correctional Unit","2020-05-02","0","","","","","0"
"702","Virginia","Haynesville Correctional Unit #17","2020-05-02","0","","","","","0"
"703","Virginia","Indian Creek Correctional Center","2020-05-02","0","","","","","0"
"704","Virginia","Keen Mountain Correctional Center","2020-05-02","0","","","","","0"
"705","Virginia","Lawrenceville Correctional Center","2020-05-02","0","","","","","0"
"706","Virginia","Lunenburg Correctional Center","2020-05-02","0","","","","","0"
"707","Virginia","Marion Correctional Treatment Center","2020-05-02","0","","","","","0"
"708","Virginia","Nottoway Correctional Center (includes Nottoway Work Center)","2020-05-02","0","","","","","0"
"709","Virginia","Patrick Henry Correctional Unit","2020-05-02","0","","","","","0"
"710","Virginia","Pocahontas State Correctional Center","2020-05-02","0","","","","","0"
"711","Virginia","Red Onion State Prison","2020-05-02","0","","","","","0"
"712","Virginia","River North Correctional Center","2020-05-02","0","","","","","0"
"713","Virginia","Rustburg Correctional Unit","2020-05-02","0","","","","","0"
"714","Virginia","St. Brides Correctional Center","2020-05-02","0","","","","","0"
"715","Virginia","Stafford Men’s CCAP","2020-05-02","0","","","","","0"
"716","Virginia","State Farm Correctional Complex","2020-05-02","0","","","","","0"
"717","Virginia","Sussex I State Prison","2020-05-02","0","","","","","0"
"718","Virginia","Wallens Ridge State Prison","2020-05-02","0","","","","","0"
"719","Virginia","Wise Correctional Unit","2020-05-02","0","","","","","0"
"720","Washington","Ahtanum View Work Release","2020-05-02","0","","","","",""
"721","Washington","Airway Heights Corrections Center","2020-05-02","0","","","","",""
"722","Washington","Bellingham Work Release","2020-05-02","0","","","","",""
"723","Washington","Bishop Lewis Work Release","2020-05-02","0","","","","",""
"724","Washington","Brownstone Work Release","2020-05-02","0","","","","",""
"725","Washington","Cedar Creek Corrections Center","2020-05-02","0","","","","",""
"726","Washington","Clallam Bay Corrections Center","2020-05-02","0","","","","",""
"727","Washington","County Jail","2020-05-02","0","","","","",""
"728","Washington","Coyote Ridge Corrections Center","2020-05-02","0","","","","",""
"729","Washington","Eleanor Chase House Work Release","2020-05-02","0","","","","",""
"730","Washington","Helen B. Ratcliff Work Release","2020-05-02","0","","","","",""
"731","Washington","Larch Corrections Center","2020-05-02","0","","","","",""
"732","Washington","Longview Work Release","2020-05-02","0","","","","",""
"733","Washington","Mission Creek Corrections Center for Women","2020-05-02","0","","","","",""
"734","Washington","Olympia Work Release","2020-05-02","0","","","","",""
"735","Washington","Olympic Corrections Center","2020-05-02","0","","","","",""
"736","Washington","Peninsula Work Release**","2020-05-02","0","","","","",""
"737","Washington","Progress House Work Release","2020-05-02","0","","","","",""
"738","Washington","Stafford Creek Corrections Center","2020-05-02","0","","","","",""
"739","Washington","Tri-Cities Work Release","2020-05-02","0","","","","",""
"740","Washington","Washington Corrections Center for Women","2020-05-02","0","","","","",""
"741","Washington","Washington State Penitentiary","2020-05-02","0","","","","",""
"742","California","California City Correctional Facility (CAC)","2020-05-02","","","","","",""
"743","California","California Correctional Institution (CCI)","2020-05-02","","","","","",""
"744","California","California Health Care Facility (CHCF)","2020-05-02","","","","","",""
"745","California","California Institution for Men (CIM)","2020-05-02","","","","","",""
"746","California","California Institution for Women (CIW)","2020-05-02","","","","","",""
"747","California","California Medical Facility (CMF)","2020-05-02","","","","","",""
"748","California","California Men’s Colony (CMC)","2020-05-02","","","","","",""
"749","California","California State Prison, Los Angeles County (LAC)","2020-05-02","","","","","",""
"750","California","California State Prison, Sacramento (SAC)","2020-05-02","","","","","",""
"751","California","Calipatria State Prison (CAL)","2020-05-02","","","","","",""
"752","California","CDCR/CCHCS Worksite Location—Sacramento County","2020-05-02","","","","","",""
"753","California","CDCR/CCHCS Worksite Location—San Bernardino County","2020-05-02","","","","","",""
"754","California","Centinela State Prison (CEN)","2020-05-02","","","","","",""
"755","California","Central California Women’s Facility (CCWF)","2020-05-02","","","","","",""
"756","California","Deuel Vocational Institution (DVI)","2020-05-02","","","","","",""
"757","California","Folsom State Prison (FSP)","2020-05-02","","","","","",""
"758","California","Ironwood State Prison (ISP)","2020-05-02","","","","","",""
"759","California","Mule Creek State Prison (MCSP)","2020-05-02","","","","","",""
"760","California","North Kern State Prison (NKSP)","2020-05-02","","","","","",""
"761","California","Northern California Youth Correctional Center (NCYCC)","2020-05-02","","","","","",""
"762","California","OH Close Youth Correctional Facility (OH Close)","2020-05-02","","","","","",""
"763","California","Richard A. McGee Correctional Training Center, Galt","2020-05-02","","","","","",""
"764","California","Richard J. Donovan Correctional Facility (RJD)","2020-05-02","","","","","",""
"765","California","Salinas Valley State Prison (SVSP)","2020-05-02","","","","","",""
"766","California","San Quentin State Prison (SQ)","2020-05-02","","","","","",""
"767","California","Substance Abuse Treatment Facility (SATF)","2020-05-02","","","","","",""
"768","California","Valley State Prison (VSP)","2020-05-02","","","","","",""
"769","California","Wasco State Prison (WSP)","2020-05-02","","","","","",""
"770","Florida","Community Corrections Region 1","2020-05-02","","","","","",""
"771","Florida","Community Corrections Region 2","2020-05-02","","","","","",""
"772","Florida","Community Corrections Region 3","2020-05-02","","","","","",""
"773","Florida","Community Corrections Region 4","2020-05-02","","","","","",""
"774","New Hampshire","All other staff worksites***","2020-05-02","","","","","",""
"775","New Hampshire","Field Services**","2020-05-02","","","","","",""
"776","Oklahoma","Probation and Parole Officers","2020-05-02","","","","","",""
"777","Virginia","Administration & Operations","2020-05-02","","","","","",""
"778","Virginia","Probation & Parole — Central Region","2020-05-02","","","","","",""
"779","Virginia","Probation & Parole — Eastern Region","2020-05-02","","","","","",""
"780","Virginia","Probation & Parole — Western Region","2020-05-02","","","","","",""
"781","Washington","Community Corrections Section 1","2020-05-02","","","","","",""
"782","Washington","Community Corrections Section 2","2020-05-02","","","","","",""
"783","Washington","Community Corrections Section 3","2020-05-02","","","","","",""
"784","Washington","Community Corrections Section 4","2020-05-02","","","","","",""
"785","Washington","Community Corrections Section 5","2020-05-02","","","","","",""
"786","Washington","Community Corrections Section 6","2020-05-02","","","","","",""
"787","Washington","Community Corrections Section 7","2020-05-02","","","","","",""
"788","Washington","Headquarters (TUM5, Airport Office, CI Headquarters, ISRB, SWRBO, SWR Performance Center, Maple Lane)","2020-05-02","","","","","",""
"789","Washington","Mill Creek Regional Performance Center","2020-05-02","","","","","",""
